,category,subcategory,topic,url
225,game,simulation,Don't Starve Together,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_tags_4__104
226,game,simulation,Assetto Corsa Ultimate Edition,https://store.steampowered.com/bundle/6998/Assetto_Corsa_Ultimate_Edition/?snr=1_tags_4__104
227,game,simulation,Assetto Corsa,https://store.steampowered.com/app/244210/Assetto_Corsa/?snr=1_tags_4__104
228,game,simulation,Factorio,https://store.steampowered.com/app/427520/Factorio/?snr=1_tags_4__104
229,game,simulation,XERA: Survival,https://store.steampowered.com/app/625340/XERA_Survival/?snr=1_tags_4__104
230,game,simulation,The Forest,https://store.steampowered.com/app/242760/The_Forest/?snr=1_tags_4__104
231,game,simulation,Don't Starve MEGA PACK PLUS,https://store.steampowered.com/bundle/9115/Dont_Starve_MEGA_PACK_PLUS/?snr=1_tags_4__104
232,game,simulation,Farming Simulator 19,https://store.steampowered.com/app/787860/Farming_Simulator_19/?snr=1_tags_4__104
233,game,simulation,RimWorld,https://store.steampowered.com/app/294100/RimWorld/?snr=1_tags_4__104
234,game,simulation,Deep Diving Simulator,https://store.steampowered.com/app/990030/Deep_Diving_Simulator/?snr=1_tags_4__104
235,game,simulation,Black Desert Online,https://store.steampowered.com/app/582660/Black_Desert_Online/?snr=1_tags_4__104
236,game,simulation,Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_tags_4__104
237,game,simulation,Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_tags_4__104
238,game,simulation,Railroad Corporation,https://store.steampowered.com/app/797400/Railroad_Corporation/?snr=1_tags_4__104
239,game,simulation,60 Seconds!,https://store.steampowered.com/app/368360/60_Seconds/?snr=1_tags_4__104
240,game,simulation,Football Manager 2019,https://store.steampowered.com/app/872790/Football_Manager_2019/?snr=1_tags_4__1454
241,game,simulation,Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_tags_4__1454
242,game,simulation,Sid Meier’s Civilization® VI,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_tags_4__1454
243,game,simulation,Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_tags_4__1454
244,game,simulation,Arma 3,https://store.steampowered.com/app/107410/Arma_3/?snr=1_tags_4__1454
245,game,simulation,Cities: Skylines,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_tags_4__1454
246,game,simulation,Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_tags_4__1454
247,game,simulation,War Thunder,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_tags_4__1454
248,game,simulation,Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_tags_4__1454
249,game,simulation,Stellaris,https://store.steampowered.com/app/281990/Stellaris/?snr=1_tags_4__1454
250,game,simulation,Europa Universalis IV,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_tags_4__1454
251,game,simulation,Farming Simulator 19,https://store.steampowered.com/app/787860/Farming_Simulator_19/?snr=1_tags_4__1454
252,game,simulation,World of Tanks Blitz MMO,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz_MMO/?snr=1_tags_4__1454
253,game,simulation,RimWorld,https://store.steampowered.com/app/294100/RimWorld/?snr=1_tags_4__1454
254,game,simulation,DayZ,https://store.steampowered.com/app/221100/DayZ/?snr=1_tags_4__1454
255,game,simulation,Saloon VR,https://store.steampowered.com/app/1014970/Saloon_VR/?snr=1_tags_4__105
256,game,simulation,H Chan: Girl,https://store.steampowered.com/app/1081090/H_Chan_Girl/?snr=1_tags_4__105
257,game,simulation,Blame Him,https://store.steampowered.com/app/950400/Blame_Him/?snr=1_tags_4__105
258,game,simulation,School Owner,https://store.steampowered.com/app/946670/School_Owner/?snr=1_tags_4__105
259,game,simulation,Rescue HQ - The Tycoon,https://store.steampowered.com/app/809720/Rescue_HQ__The_Tycoon/?snr=1_tags_4__105
260,game,simulation,The Language of Love,https://store.steampowered.com/app/1027620/The_Language_of_Love/?snr=1_tags_4__105
261,game,simulation,Grotesque Beauty - A Psychological Horror Text Adventure,https://store.steampowered.com/app/1056280/Grotesque_Beauty__A_Psychological_Horror_Text_Adventure/?snr=1_tags_4__105
262,game,simulation,Yume Puzzle,https://store.steampowered.com/app/1083990/Yume_Puzzle/?snr=1_tags_4__105
